Tag A,Tag B,Similitud_Coseno_Prob_Topicos
Daniel Ortega,Feminismo Negro,0.869
Milei,Paro General,0.869
América Latina,Internacional,0.869
Milei,Victoria Villarruel,0.869
Gobernadores,Libertarios,0.869
Estados Unidos,Fascismo,0.869
Lgbt,Memoria Trans,0.869
Lgbt,Rosariocronica,0.869
Anticomunismo,Antipolítica,0.869
Cupo Laboral Trans,Denuncias,0.869
El Salvador,Elecciones Legislativas 2021,0.869
Fuerzas De Seguridad,Represión,0.869
Adorni,Comedores Comunitarios,0.869
Adolescencias,Educación,0.869
Adorni,Jorge Macri,0.869
Perfil Político,Represión,0.869
Derechas,Ley Omnibus,0.869
Partido Republicano,Politica Exterior,0.869
Antipolítica,Peronismo,0.869
Cupo Laboral Trans,Doble Femicidio,0.869
Identidades No Binarias,Memoria Trans,0.868
Laboratorio De No Ficción Creativa,Memoria,0.868
Elites,Fmi,0.868
Narco,Violencia,0.868
Federalismo,Ucr,0.868
Chile,Plebiscito De Salida,0.868
China,Natalia Oreiro,0.868
China,Putin,0.868
Crimen De Odio,Femicidios,0.868
Indio Solari,Palito Ortega,0.868
Recursos Naturales,Ypf,0.868
Transporte,Unsam,0.868
Juventudes,Leda-Unsam,0.868
Nacionalismo,Victoria Villarruel,0.868
Música Electrónica,Trap,0.868
Música Electrónica,Roberto Jacoby,0.868
Industria Textil,Transporte,0.868
Ecuador,Seguridad,0.868
Liberalismo,Martín Guzmán,0.868
Liberalismo,Movilización,0.868
Medios De Comunicación,Redes Sociales,0.868
Milei,Política Exterior,0.868
Milei,Pro,0.868
Gustavo Petro,María Eugenia Vidal,0.868
Daniel Ortega,Frente De Izquierda,0.868
Progresismo,Provincias,0.868
Ciudad Futura,Kirchnerismo,0.868
Ola Polar,Recursos Naturales,0.868
Jujuy,Litio,0.868
Frente De Izquierda,Nicaragua,0.868
Elecciones 2023,Francia Márquez,0.868
Anticomunismo,Escuela De Política Y Gobierno,0.868
Juan Grabois,María Eugenia Vidal,0.868
Conurbano,La Matanza,0.868
Comunicación Política,Interseccionalidad,0.868
Comunicación Política,Feminismo Negro,0.868
Fallo Contra Cfk,Patricia Bullrich,0.868
El Salvador,Fallo Contra Cfk,0.868
Perfil Político,Protesta Social,0.868
Pedro Almodóvar,Zendaya,0.868
Artlab,Mujeres Y Disidencias,0.868
Artlab,Britishcouncil,0.868
Literatura,Naturaleza,0.868
Feria Del Libro,Instagram,0.868
Escuela De Política Y Gobierno,Liberalismo,0.868
Cepo,Transporte,0.868
Democracia,Internacional,0.868
Euphoria,Pedro Almodóvar,0.868
$Libra,Sergio Massa,0.867
Artesdigitales,Laboratorio De Periodismo Performático,0.867
Axel Kicillof,Milei,0.867
El Último Rincón De Sudamérica,Internacional,0.867
Gabrielboric,Política,0.867
Manuel Adorni,Provincias,0.867
Estallido,Racismo En Argentina,0.867
Causa Andis,Victoria Villarruel,0.867
Comedores Comunitarios,Julia Mengolini,0.867
Adolescencias,Universidad Pública,0.867
Jorge Macri,Patricia Bullrich,0.867
Bolivia,Nancy Fraser,0.867
Dictadura,Rosario,0.867
Fallo Contra Cfk,Ucr,0.867
Encuestas,Pensamiento Crítico,0.867
Crueldad,Marxismo,0.867
Libertad,Paro General,0.867
Comedores Comunitarios,Fake News,0.867
Archivo,Artesdigitales,0.867
El Salvador,O Sea Digamos,0.867
Comedores Comunitarios,Discursos Odio,0.867
Filba,Literatura,0.867
Pedro Almodóvar,Premios Oscar,0.867
Pensamiento Crítico,Tecnologías,0.867
Archivo,Mutek,0.867
Agua,Humedales,0.867
Comunicación Política,O Sea Digamos,0.867
Izquierdas,Patricia Bullrich,0.867
Cosas Que Funcionan,Depresión,0.867
Amplify,Archivo,0.867
Día Del Padre,Migraña,0.867
Corrupción,Perfil Político,0.867
Amplify,Laboratorio De Periodismo Performático,0.867
Laboratorio Periodismo Performàtico,Televisión,0.867
Laboratorio De Periodismo Performático,Mutek,0.867
Laboratorio De Periodismo Performático,Teatro,0.867
8M,Abuso Sexual,0.867
7M,Nueva Constitución,0.867
Elecciones Legislativas 2021,Javier Milei,0.867
Corrupción,Espionaje,0.867
Hipersticion,Política Exterior,0.867
Derechos Humanos,Sistema Penal,0.867
Crisis 2001,Democracia,0.867
Fascismo,Política Exterior,0.867
Ca7Triel Y Paco,Roberto Jacoby,0.867
Alemania,Lavagna,0.867
#Anfibia10Años,Literatura,0.867
La Libertad Avanza,Marxismo,0.867
Racismo En Argentina,Violencia Institucional,0.867
Nacionalismo,Sin Control 2,0.867
Derechos Humanos,Edad De Punibilidad,0.867
#Niunamenos,Disidencias Sexuales,0.867
San Martín,Urbanismo,0.867
Karina Milei,Tucumán,0.867
Cfk,Francia Márquez,0.867
Nahir Galarza,Punitivismo,0.867
Nicolas Maduro,Patricia Bullrich,0.867
Alimentación,Crueldad,0.867
Ambiente,Crónicas,0.867
Impuesto A Las Grandes Riquezas,Sistema Bancario,0.867
Bruno Stagnaro,Premios Oscar,0.867
Culturahype,Política Exterior,0.867
Ciudades,San Martín,0.867
Financiamiento Narco,Victoria Villarruel,0.867
Inundación,Ley De Glaciares,0.867
El Eternauta,Premios Oscar,0.867
Ley Ómnibus,Manuel Adorni,0.867
Masculinidades,Violencias,0.867
Fascismo,Ley Bases,0.867
Irinakaramanos,Política,0.867
Elecciones,Horacio Rodríguez Larreta,0.866
Derechas,Movilización,0.866
Cristina Fernández De Kirchner,Martín Guzmán,0.866
Juan Grabois,Santa Fe,0.866
A 20 Años Del Estallido,Marxismo,0.866
Crueldad,Julia Mengolini,0.866
Derechas,Randazzo,0.866
Crónicas,Zonas De Sacrificio,0.866
Bolivia,Elecciones,0.866
Crueldad,Discursos Odio,0.866
Patriarcado,Sistema Penal,0.866
Crueldad,Fake News,0.866
Archivo,Arte,0.866
Javier Milei,Jubilados,0.866
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Menopausia,0.866
2001,Rosario,0.866
Francia Márquez,María Eugenia Vidal,0.866
Frente De Todos,Ley Bases,0.866
America Latina,Marcos Peña,0.866
America Latina,Donald Trump,0.866
Música,Roberto Jacoby,0.866
Laboratorio Periodismo Performàtico,Periodismo Performático,0.866
Iglesia Católica,Paraguay,0.866
Federalismo,Política Exterior,0.866
Muerte,Tanatopraxia,0.866
Gobernadores,Victoria Villarruel,0.866
Alimentación,Juventudes,0.866
Comunicación Política,Frente De Todos,0.866
Escuela De Política Y Gobierno,Venezuela,0.866
Francia Márquez,Perú,0.866
Lenguaje Inclusivo,Tango,0.866
Alquileres,Fernanda Miño,0.866
Corrupción,Política,0.866
Fake News,Leda-Unsam,0.866
Corrupción,El Salvador,0.866
A 20 Años Del 2001,Eduardo Duhalde,0.866
Alberto Fernández,Paso,0.866
Cristina Dorador,Crónicas,0.866
Cristina Fernández De Kirchner,Ecuador,0.866
Julia Mengolini,Leda-Unsam,0.866
Inteligencia Artificial,Pensamiento Crítico,0.866
Ley Bases,Misiones,0.866
Protesta Social,Unsam,0.866
Discursos Odio,Leda-Unsam,0.866
Bukele,Crueldad,0.866
Alberto Fernández,Jorge Macri,0.866
Gustavo Petro,Internacional,0.866
Escuela De Política Y Gobierno,Política,0.866
Congreso,Nacionalismo,0.866
Edad De Punibilidad,Patriarcado,0.866
Marcos Peña,Nicolas Maduro,0.866
Perfil Político,Provincias,0.866
Libertarios,Tucumán,0.866
Colombia,Internacional,0.866
Ficción,Naturaleza,0.866
2001,2001 | Unsam,0.865
Euphoria,Zapping Cultural,0.865
2001,Unsam,0.865
#Niunamenos,Furia Travesti,0.865
Comunicación Política,Tucumán,0.865
El Salvador,Interseccionalidad,0.865
Fallo Contra Cfk,Leandro Santoro,0.865
Comedores Comunitarios,Unsam,0.865
Colombia,Nancy Fraser,0.865
Hbo,Pedro Almodóvar,0.865
Fallo Contra Cfk,Victoria Villarruel,0.865
Libertarios,Progresismo,0.865
Basta Chicos,Futuro Anfibio,0.865
Barras Bravas,Pelé,0.865
Perfil Político,Piñera,0.865
Afjp,Movimientos Sociales,0.865
Agronegocios,Escuela De Política Y Gobierno,0.865
Agronegocios,Elecciones,0.865
Comedores Comunitarios,Elecciones,0.865
La Casona Iluminada,Moria Casán,0.865
Censo,Redes Sociales,0.865
Kirchnerismo,Paso,0.865
#Niunamenos,Terf,0.865
Zapping Cultural,Zendaya,0.865
Artes,Copia,0.865
Artes,Galpon Face,0.865
Atentado A Cristina,Seguridad,0.865
Masculinidades,Memoria Trans,0.865
Juan Grabois,Randazzo,0.865
Agua,Ley De Glaciares,0.865
Participación Ciudadana,Unsam,0.865
Italia,Randazzo,0.865
Congreso,Progresismo,0.865
El Salvador,Feminismo Negro,0.865
Elecciones,Retenciones,0.865
Elecciones,Libertarios,0.865
O Sea Digamos,Progresismo,0.865
A 20 Años Del 2001,Cfk,0.865
Estado,Movimientos Sociales,0.865
Futuro Anfibio,Mediáticos,0.865
El País,Libertarios,0.865
Daniel Ortega,Estados Unidos,0.865
América Latina,Interseccionalidad,0.865
Anticomunismo,Batalla Cultural,0.865
Feminismo Negro,María Eugenia Vidal,0.865
Bolivia,Política,0.865
Escuela De Política Y Gobierno,Retenciones,0.865
Escuela De Política Y Gobierno,Ucr,0.865
Comunidad Anfibia,Moria Casán,0.865
Jorge Macri,Un Año De Milei,0.865
Gustavo Petro,Martín Guzmán,0.865
Bosque,Literatura,0.865
Inundación,Patagonia,0.865
Después Del Virus,Prep,0.865
Después Del Virus,Pep,0.865
Clases Medias,Escuela De Arte Y Patrimonio,0.865
Interseccionalidad,María Eugenia Vidal,0.865
Después Del Virus,Varones Gay,0.865
Alberto Fernández,Comedores Comunitarios,0.865
Elecciones Legislativas 2021,Elites,0.865
Elecciones 2023,Santa Fe,0.865
Cine Argentino,Netflix,0.865
Caba,Participación Ciudadana,0.865
Caba,Gobierno Abierto,0.865
Disidencias Sexuales,Higui,0.865
Desigualdad,Protesta Social,0.865
Ecuador,Movimientos Sociales,0.865
Democracia,Patricia Bullrich,0.865
Cárceles,Educación,0.865
Campo,Escuela De Política Y Gobierno,0.865
Campo,Elecciones,0.865
Elites,Frente De Izquierda,0.865
Elecciones 2023,Mauricio Macri,0.865
Lavagna,Nancy Fraser,0.865
Cfk,Marxismo,0.865
América Latina,Feminismo Negro,0.865
Femicidio,Identidad Trans,0.865
Femicidio,Fernando Báez Sosa,0.865
Moria Casán,Teatro Bombón,0.865
Democracia,Desigualdad,0.865
Gobierno Abierto,Unsam,0.865
Racismo,Seguridad,0.865
3J,Testimonios,0.865
#Niunamenos,Cancelación,0.865
Identidad De Género,Redes Sociales,0.865
#Anfibia10Años,Botánica,0.865
#Anfibia10Años,Performance,0.865
La Libertad Avanza,Política,0.865
Estados Unidos,Nicaragua,0.865
Estados Unidos,Internacional,0.865
Estados Unidos,Guyana,0.865
Cfk,Cordobesismo,0.864
Rosario,Violencia Institucional,0.864
España,Liberalismo,0.864
2001 | Unsam,Democracia,0.864
Gustavo Petro,Política,0.864
Aborto,Embarazos,0.864
Aborto,Lo Real Real,0.864
Política Exterior,Sergio Massa,0.864
Adolescencia,Argentina,0.864
Cfk,Elecciones Legislativas 2021,0.864
Progresismo,Ucr,0.864
A 20 Años Del Estallido,Alberto Fernández,0.864
Cárceles,Marcha Universitaria,0.864
Punitivismo,Terf,0.864
Daniel Ortega,Elecciones Legislativas 2021,0.864
Fake News,Liberalismo,0.864
Giorgia Meloni,Perfil Político,0.864
Política Exterior,Provincias,0.864
Ecuador,Internacional,0.864
Juntos Por El Cambio,Xiomara Castro,0.864
Chile,Partidos Políticos,0.864
Juntos Por El Cambio,Retenciones,0.864
Paro General,Populismo,0.864
Paro General,Presupuesto 2025,0.864
Agronegocios,Juntos Por El Cambio,0.864
Pakapaka,Zapping Cultural,0.864
Papa León Xiv,Paraguay,0.864
Higui,Memoria Trans,0.864
Honduras,Juntos Por El Cambio,0.864
Encuestas,Santiago Caputo,0.864
Encuestas,Side,0.864
Campo,Marcos Peña,0.864
Campo,Juntos Por El Cambio,0.864
Chile,Proceso Constituyente,0.864
Agronegocios,Marcos Peña,0.864
Paso,Ucr,0.864
Crónica,Literatura,0.864
Afectos,Lgbtiq+,0.864
Hegemonía,Movimientos Sociales,0.864
Encuestas,Inteligencia,0.864
Cristina Fernández De Kirchner,Victoria Villarruel,0.864
Afjp,Sindicalismo,0.864
Fallo Contra Cfk,Gobernadores,0.864
Plan Qunita,Salud Mental,0.864
Cancelación,Punitivismo,0.864
Elites,Hegemonía,0.864
Elites,Xiomara Castro,0.864
Alemania,Perú,0.864
Alimentación,Ley De Etiquetado,0.864
El País,Leandro Santoro,0.864
Angela Merkel,Política,0.864
Anticomunismo,Daniel Ortega,0.864
Anticoncepción,Argentina,0.864
Elecciones,O Sea Digamos,0.864
Antipolítica,Francia Márquez,0.864
Anticomunismo,Nicaragua,0.864
Bolivia,Xiomara Castro,0.864
Argentina,Maternidad Temprana,0.864
Marcos Peña,Mauricio Macri,0.864
Milei,Tucumán,0.864
Mundial 2026,Tenis,0.864
Bukele,Claudia Sheinbaum,0.864
Discursos Odio,Liberalismo,0.864
Furia Travesti,Punitivismo,0.864
Futuro Imperfecto,Moda Y Medios,0.864
Ley Bases,Patricia Bullrich,0.864
Julia Mengolini,Liberalismo,0.864
America Latina,Sergio Massa,0.864
Nahir Galarza,Triple Femicidio,0.864
America Latina,Internacional,0.864
Derechos Humanos,Nietos,0.864
Boca Juniors,Maradona,0.864
Bell Hooks,Masculinidades,0.864
Discurso,Fallo Contra Cfk,0.864
Libertad,Manuel Adorni,0.864
Marcos Peña,Retenciones,0.864
Argentina,Salud Sexual Y Reproductiva,0.864
Bolivia,Honduras,0.864
Axel Kicillof,María Eugenia Vidal,0.864
Feminismos Afro,Masculinidades,0.864
Lgbttinb+,Revolución Federal,0.864
Alimentación,Crisis 2001,0.864
Horacio Rodríguez Larreta,Juntos Por El Cambio,0.864
Elites,Honduras,0.864
Crisis 2001,Protesta Social,0.864
Nacionalismo,Peronismo,0.864
Elecciones Legislativas 2021,Nicaragua,0.864
Ecuador,Izquierdas,0.863
Honduras,Lavagna,0.863
Hipersticion,Victoria Villarruel,0.863
Hijos De Represores,Nietos,0.863
Folklore,Redonditos De Ricota,0.863
Escritura,Ficción,0.863
Escuela De Política Y Gobierno,Patricia Bullrich,0.863
Progresismo,Santa Fe,0.863
A 20 Años Del Estallido,Desigualdad,0.863
Política,Revolución Federal,0.863
Donald Trump,Guyana,0.863
Culturahype,Victoria Villarruel,0.863
Democracia,Gustavo Petro,0.863
Democracia,Elecciones 2023,0.863
Danza,Ilustraciones,0.863
Glosario De La Crisis,Precios,0.863
Paco Ignacio Taibo Ii,Patrimonio Cultural,0.863
Campo,Crisis,0.863
Crisis,Retenciones,0.863
Agronegocios,Crisis,0.863
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Identidades No Binarias,0.863
Evo Morales,Venezuela,0.863
Democracia,Kirchnerismo,0.863
A 20 Años Del Estallido,Francia Márquez,0.863
Escuela De Política Y Gobierno,Nicolas Maduro,0.863
A 20 Años Del 2001,Protesta Social,0.863
Libertad,Perfil Político,0.863
Discurso,Peronismo,0.863
Libros,Obra Pública,0.863
Beca Cosecha Anfibia,Festival Anfibio,0.863
Bolivia,Bukele,0.863
#Viajosola,Nahir Galarza,0.863
Claudia Sheinbaum,Liberalismo,0.863
Libros,Puente Rosario Victoria,0.863
Lgbttinb+,Política,0.863
Axel Kicillof,Comedores Comunitarios,0.863
Juan Grabois,Manuel Adorni,0.863
Luis Miguel,Zapping Cultural,0.863
Claudia Sheinbaum,Frente De Izquierda,0.863
Juicios De Lesa Humanidad,Lesa Humanidad,0.863
Furia Travesti,Géneros,0.863
Elecciones 2023,Paro General,0.863
Anticomunismo,Democracia,0.863
Apropiación Cultural,Racismo En Argentina,0.863
Conurbano,Gastronomía,0.863
Ilustraciones,Movimiento,0.863
Comedores Comunitarios,Ley Ómnibus,0.863
Ley Omnibus,Victoria Villarruel,0.863
Asociación Del Fútbol Argentino,Tenis,0.863
Axel Kicillof,Manuel Adorni,0.863
Comunicación Política,Leda-Unsam,0.863
Anticomunismo,Karina Milei,0.863
Lavagna,Xiomara Castro,0.863
Crueldad,Kirchnerismo,0.863
Ecuador,Protesta Social,0.863
Culturahype,Federalismo,0.863
Canadá,Mundial De Fútbol,0.863
Hegemonía,Neoliberalismo,0.863
Chile Convención Constituyente Internacional,Partidos Políticos,0.863
Cancelación,Géneros,0.863
Gabriel García Márquez,Paco Ignacio Taibo Ii,0.863
Géneros,Terf,0.863
Géneros,Vínculos,0.863
Política,Sergio Massa,0.863
Rosariocronica,Violencia Institucional,0.863
24M: Día De La Memoria Por La Verdad Y La Justicia,Femicidios,0.863
Kirchnerismo,Sergio Massa,0.863
24M: Día De La Memoria Por La Verdad Y La Justicia,Crimen,0.863
Ilustraciones,Melisa Zulberti,0.863
Angela Merkel,Ciudad Futura,0.863
Ilustraciones,Posguerra,0.863
Juntos Por El Cambio,Karina Milei,0.863
Feminismo Negro,Juntos Por El Cambio,0.863
Anses,Estado,0.863
Angela Merkel,Sergio Massa,0.863
Anses,Elites,0.863
Interseccionalidad,Lavagna,0.863
Interseccionalidad,Juntos Por El Cambio,0.863
Feminismo Negro,Lavagna,0.863
Elecciones 2023,Lavagna,0.863
Femicidios,Punitivismo,0.863
Bukele,Kirchnerismo,0.863
Federalismo,Kirchnerismo,0.863
Elecciones Legislativas 2021,Leda-Unsam,0.863
Eduardo Duhalde,Frente De Todos,0.863
Folklore,Fundamentalistas Del Aire Acondicionado,0.863
Ni Una Menos,Vínculos,0.863
Federalismo,Hipersticion,0.863
Horacio Rodríguez Larreta,Santa Fe,0.863
Ley Bases,Ley Ómnibus,0.863
Anticomunismo,Política,0.863
Derechos Humanos,Racismo,0.862
Honduras,Peronismo,0.862
Embarazos,Identidades No Binarias,0.862
Encuentro Anfibio,Perfil,0.862
Campo,Javier Milei,0.862
Cine Argentino,Hbo,0.862
Peronismo,Xiomara Castro,0.862
Derechas,Izquierdas,0.862
Epistemología,Teatro,0.862
Derechos Humanos,Represión,0.862
Afectos,Orgullo,0.862
Agronegocios,Javier Milei,0.862
Cine,Hbo,0.862
G20,Protesta Social,0.862
Derechas,Martín Guzmán,0.862
Gobernadores,Sin Control 2,0.862
2001,Discapacidad,0.862
A 20 Años Del 2001,A 20 Años Del Estallido,0.862
Evo Morales,Piñera,0.862
A 20 Años Del 2001,Liberalismo,0.862
Carnaval,Puerto Madryn,0.862
$Libra,Victoria Villarruel,0.862
#Viajosola,Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,0.862
Escuela Idaes,Transporte,0.862
Política,Transporte,0.862
Afectos,Identidades No Binarias,0.862
Alimentación,Ecuador,0.862
Alemania,Derechas,0.862
Elites,Perfil Político,0.862
Criptogate,Sergio Massa,0.862
Identidades No Binarias,Lo Real Real,0.862
Angela Merkel,Paso,0.862
Murgas,Puerto Madryn,0.862
Murakami,Netflix,0.862
Movimientos Sociales,Perfil Político,0.862
Movilización,Perfil Político,0.862
Femicidios,Orgullo,0.862
América Latina,Política,0.862
Desaparecidos,Esquizofrenia,0.862
Ecuador,Santa Fe,0.862
Juntos Por El Cambio,Nacionalismo,0.862
Caba,Elecciones,0.862
Narcotráfico,Rosariocronica,0.862
Nancy Fraser,Venezuela,0.862
Criptomonedas,Juegos Olímpicos Paris 2024,0.862
Mauricio Macri,Sergio Massa,0.862
Dictadura,Laboratorio De No Ficción Creativa,0.862
Manuel Adorni,Mascotas,0.862
Manuel Adorni,Natalidad,0.862
Izquierdas,Silvina Batakis,0.862
Izquierdas,Piñera,0.862
Comedores Comunitarios,Tucumán,0.862
Comunicación Política,Crueldad,0.862
Bolivia,Perfil Político,0.862
Comunicación Política,Federalismo,0.862
Literatura,Pedro Lemebel,0.862
Feminismos,Tango,0.862
Javier Milei,Política,0.862
Liberalismo,Lunes Negro,0.862
Jubilados,Movilización,0.862
Discapacidad,Violencia Institucional,0.862
Javier Milei,Retenciones,0.862
Ba,Ley De Glaciares,0.862
Cristina Fernández De Kirchner,Daniel Ortega,0.861
Ciudad Futura,Democracia,0.861
Cine,Escrituras Autobiográficas,0.861
Caba,María Eugenia Vidal,0.861
Liberalismo,Randazzo,0.861
Liberalismo,Tucumán,0.861
Discursos Odio,Elecciones 2023,0.861
$Libra,Liberalismo,0.861
Fascismo,Libertarios,0.861
Horacio Rodríguez Larreta,Peronismo,0.861
Horacio Rodríguez Larreta,Ucr,0.861
Cristina Fernández De Kirchner,Frente De Izquierda,0.861
Neoliberalismo,Precios,0.861
Desaparecidos,Periodismo Narrativo,0.861
Ciudad Futura,Interseccionalidad,0.861
Agua,Crónicas,0.861
America Latina,El Salvador,0.861
Cristina Fernández De Kirchner,Nicaragua,0.861
Comedores Comunitarios,Comunicación Política,0.861
Nacionalismo,Unión Por La Patria,0.861
Ley De Glaciares,Servicio Meteorológico Nacional,0.861
Cristina Fernández De Kirchner,Un Año De Milei,0.861
Patrimonio Cultural,Pizarnik,0.861
Cfk,Santa Fe,0.861
Ley De Glaciares,Océano,0.861
Cine,Imprenteros,0.861
Cine,Series,0.861
Incendio,Lenguajes,0.861
Moria Casán,Pakapaka,0.861
Crónicas,Inundación,0.861
Géneros,Orgullo,0.861
Cfk,Liberalismo,0.861
Menopausia,Shakespeare,0.861
Angela Merkel,Kirchnerismo,0.861
Angela Merkel,Liberalismo,0.861
Libertad,Marxismo,0.861
Inflación,Martín Guzmán,0.861
Elecciones 2023,Política Exterior,0.861
Cop26,Recursos Naturales,0.861
Gabriel García Márquez,Pizarnik,0.861
Escuela Idaes,Homofobia,0.861
Juicios De Lesa Humanidad,Poder Judicial,0.861
Ley Omnibus,Sergio Massa,0.861
Después Del Virus,Terapias Alternativas,0.861
Inundaciones,Ley De Glaciares,0.861
Anses,Silvina Batakis,0.861
Escuela Idaes,Visibilidad Lésbica,0.861
A 20 Años Del Estallido,Gustavo Petro,0.861
Masculinidades,Menopausia,0.861
Elecciones 2023,Julia Mengolini,0.861
Donald Trump,El Salvador,0.861
Francia Márquez,Liberalismo,0.861
Elecciones,Silvina Batakis,0.861
Elecciones 2023,Fake News,0.861
A 20 Años Del Estallido,Claudia Sheinbaum,0.861
Lgbt,Opus Dei,0.861
Antipolítica,Sergio Massa,0.861
Archivo,Danza,0.861
Archivo,Melisa Zulberti,0.861
Archivo,Movimiento,0.861
Archivo,Posguerra,0.861
Progresismo,Silvina Batakis,0.861
Provincias,Tucumán,0.861
Lunes Negro,Tucumán,0.861
Arte Digital,Escuela De Arte Y Patrimonio,0.861
Financiamiento Narco,Paro General,0.861
Causa Andis,Un Año De Milei,0.861
Economía Popular,Trabajo,0.861
Francia Márquez,G20,0.861
Lgbtiq+,Vínculos,0.861
Gordoodio,Series,0.861
Feria Del Libro,Libros,0.861
Axel Kicillof,Populismo,0.861
Axel Kicillof,Presupuesto 2025,0.861
Ciudad Futura,Feminismo Negro,0.861
Estallido En Chile,Proceso Constituyente,0.861
Financiamiento Narco,Un Año De Milei,0.861
Causa Andis,Paro General,0.861
Estallido En Chile,Internacional,0.86
Incendios,Incendios Forestales,0.86
Corrupción,Política Exterior,0.86
Corrupción,Marcos Peña,0.86
Movimiento,Mutek,0.86
Cosas Que Funcionan,Sequía,0.86
Cosas Que Funcionan,Monterrey,0.86
Cosas Que Funcionan,Instituto Llilas,0.86
Cuidados,Opus Dei,0.86
Axel Kicillof,Mauricio Macri,0.86
Perú,Piñera,0.86
Elecciones Legislativas 2021,Escuela Idaes,0.86
Amplify,Danza,0.86
Campo,Nancy Fraser,0.86
Donald Trump,Surinam,0.86
Humedales,Litio,0.86
Memoria Trans,Testimonios,0.86
Cordobesismo,Giorgia Meloni,0.86
Mutek,Posguerra,0.86
Crueldad,Neoliberalismo,0.86
Agronegocios,Nancy Fraser,0.86
Clase Obrera,Sindicalismo,0.86
Gran Hermano,Nietos,0.86
Giorgia Meloni,Sergio Massa,0.86
Giorgia Meloni,Santa Fe,0.86
Angela Merkel,Piñera,0.86
Escuela Idaes,Protesta Social,0.86
Abuso Sexual,Encuesta De Qué Viven,0.86
Abuso Sexual,Cupo Laboral Trans,0.86
Abuso Sexual,Shakespeare,0.86
Memoria Trans,Violencia De Género,0.86
Melisa Zulberti,Mutek,0.86
Desigualdad,Economía,0.86
Fito Páez,Trap,0.86
Evo Morales,G20,0.86
Danza,Mutek,0.86
Democracia,Fuerzas De Seguridad,0.86
Globos De Oro,Pedro Almodóvar,0.86
Colombia,Venezuela,0.86
Colombia,Seguridad,0.86
8M,Afectos,0.86
7M,Sebastián Piñera,0.86
Crisis 2001,Rosariocronica,0.86
Crisis 2001,Orgullo,0.86
Disidencias Sexuales,Tango,0.86
Leda-Unsam,Redes Sociales,0.86
Alimentación,Atentado A Cristina,0.86
Marxismo,Policiriss,0.86
Frente De Todos,Paso,0.86
Discapacitados,Marxismo,0.86
Artesdigitales,Danza,0.86
A 20 Años Del 2001,Derechas,0.86
Colombia,Escuela De Política Y Gobierno,0.86
Narco,Pobreza,0.86
Nancy Fraser,Retenciones,0.86
America Latina,Comedores Comunitarios,0.86
Carlos Saúl Menem,Liberalismo,0.86
Caparros,Literatura,0.86
Jujuy,Perfil Político,0.86
Jujuy,Represión,0.86
Cristina Fernández De Kirchner,Ley Bases,0.86
Alberto Fernández,Bolivia,0.86
Izquierdas,Partido Republicano,0.86
Ara San Juan,Malvinas,0.86
Maradona,Mundial 2026,0.86
Antipolítica,Progresismo,0.86
Artesdigitales,Posguerra,0.86
Artesdigitales,Movimiento,0.86
Artesdigitales,Melisa Zulberti,0.86
Terapias Alternativas,Vih,0.86
2001,Buenos Aires,0.86
Amplify,Posguerra,0.86
Amplify,Movimiento,0.86
Amplify,Melisa Zulberti,0.86
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Nahir Galarza,0.86
Caba,Randazzo,0.86
Derechas,Neoliberalismo,0.86
Derechas,Unsam,0.86
La Columna De Zambra,Zambra,0.86
Cine,El Eternauta,0.859
Amazon Prime,Euphoria,0.859
2001,Alimentación,0.859
$Libra,Derechas,0.859
Giorgia Meloni,Progresismo,0.859
Horacio Rodríguez Larreta,Marcos Peña,0.859
Comedores Comunitarios,Nancy Fraser,0.859
Comedores Comunitarios,Movilización,0.859
#Niunamenos,Vínculos,0.859
A 20 Años Del 2001,Fallo Contra Cfk,0.859
A 20 Años Del 2001,Nicaragua,0.859
Justicia,Migración,0.859
Antipolítica,Gustavo Petro,0.859
Juntos Por El Cambio,Movimientos Sociales,0.859
Agua,Ambientalismo,0.859
Narcotráfico,Violencia,0.859
Crisis,Ley Bases,0.859
Deudas,Mitos Impuestos,0.859
Lula Da Silva,Turismo,0.859
Protesta Social,Violencia Institucional,0.859
A 20 Años Del 2001,Daniel Ortega,0.859
Ciencia,Nazismo,0.859
Crueldad,Desigualdad,0.859
Derechas,Lunes Negro,0.859
Nancy Fraser,Sergio Massa,0.859
Martín Guzmán,María Eugenia Vidal,0.859
Derechos Humanos,Fuerzas De Seguridad,0.859
Bosque,La Columna De Zambra,0.859
Antipolítica,Elecciones 2023,0.859
Amazon Prime,Zendaya,0.859
Colombia,Nicolas Maduro,0.859
Jorge Macri,Kirchnerismo,0.859
Embarazos,Patriarcado,0.859
Elecciones 2023,Gustavo Petro,0.859
Izquierdas,Liberalismo,0.859
Atentado A Cristina,Cristina Fernández De Kirchner,0.859
Masculinidades,Orgullo,0.859
Ecuador,Neoliberalismo,0.859
Murakami,Sex And The City,0.859
Amistad,Murakami,0.859
Amia,Embajada De Israel,0.859
2X1 A Genocidas,Justicia,0.859
Julia Mengolini,Medios De Comunicación,0.859
Perfil,Periodismo,0.859
Chile Convención Constituyente Internacional,Estallido En Chile,0.859
Bruno Stagnaro,Cine,0.859
